sub,covid_emo_distress_1_1,covid_emo_distress_1_2,covid_emo_distress_1_3,covid_emo_distress_1_4,covid_emo_distress_1_5,covid_emo_distress_1_6,covid_emo_distress_1_7,covid_emo_distress_1_8,covid_emo_distress_2_1,covid_emo_distress_2_2,covid_emo_distress_2_3,covid_emo_distress_2_4,covid_emo_distress_2_5,covid_emo_distress_2_6,covid_emo_distress_2_7
35,65,66,76,53,79,80,67,66,66,68,79,72,61,68,39
36,76,21,55,69,61,34,65,61,57,65,36,58,55,32,53
37,100,13,78,90,87,90,80,84,100,100,98,97,100,38,95
38,58,87,40,64,6,3,0,42,50,57,8,46,16,74,7
39,100,0,15,86,5,100,100,100,90,100,69,100,84,0,0
40,65,22,9,83,62,100,36,100,96,97,97,96,100,0,100
41,90,15,75,75,85,30,90,90,85,77,15,85,89,15,67
42,60,40,57,74,60,43,2,2,41,55,45,54,66,27,38
43,1,100,30,74,3,100,15,8,3,2,2,6,3,93,7
44,16,81,54,87,0,74,0,20,32,53,54,58,46,77,18
45,80,30,85,100,95,10,70,95,80,85,85,95,100,35,75
46,76,55,63,96,51,51,51,77,45,59,51,68,53,41,30
47,80,50,70,90,70,10,0,80,70,90,60,90,90,10,60
48,44,62,67,89,40,1,2,64,55,12,13,21,34,1,0
49,70,20,70,70,30,60,20,25,40,70,70,70,70,15,75
50,85,28,68,75,73,15,77,83,69,65,62,72,59,71,59
51,29,61,39,71,28,0,0,87,0,9,0,8,0,0,0
52,71,25,71,100,71,73,0,89,66,67,68,69,68,22,71
53,51,22,51,0,100,0,0,100,75,79,0,49,79,0,66
55,100,0,100,100,100,17,0,0,100,100,100,100,100,0,100
56,100,22,68,100,100,32,0,0,61,79,61,100,81,0,76
57,80,29,29,100,43,68,100,100,15,24,32,14,32,20,43
58,97,3,86,91,84,90,60,89,93,96,90,97,100,29,100
59,41,65,24,73,51,13,66,100,33,62,63,64,57,29,45
60,100,0,100,84,100,0,0,100,100,100,100,100,100,0,0
61,50,50,40,80,50,15,0,100,10,10,10,10,5,50,0
62,10,75,10,40,70,91,58,88,30,55,30,55,74,83,16
63,52,66,5,100,12,62,9,62,41,5,6,9,17,25,14
64,38,54,37,37,26,63,59,41,34,29,35,33,35,40,32
65,80,0,24,60,100,100,50,51,100,60,21,40,75,14,100
66,100,51,98,98,99,99,13,87,74,74,75,75,75,32,75
67,21,83,12,26,11,8,13,10,8,6,6,5,7,73,3
68,66,26,65,64,69,75,23,64,52,59,62,70,52,17,20
69,61,29,30,75,67,77,31,16,31,64,58,60,33,36,67
70,100,9,100,100,61,5,0,7,100,50,31,93,92,8,0
71,50,30,65,85,55,80,0,0,30,50,50,50,50,35,85
